kelurahan,kecamatan,kabupaten,provinsi,kodepos
'LAE RIMAN','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'LIPAT KAJANG','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'LIPAT KAJANG ATAS','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'PAKIRAMAN','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'PANDAN SARI','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'PANGI','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'PERTABAS','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'SERASAH','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'SIDODADI','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'SILATONG','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'SUKAREJO','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'TANJUNG MAS','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'TUGAN','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'TUH TUHAN','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'UJUNG LIMUS','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'BLOK 15','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'BLOK 18','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'BLOK 31','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'BUKIT HARAPAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'CINGKAM','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'GUNUNG LAGAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'LABUHAN KERA','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'LAE BUTAR','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'PANDAN SARI','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24783'
'PENJAHITAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'PERANGUSAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'PERTAMPAKAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'RIMO','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'SANGGABERU SILULUSAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'SEBATANG','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'SEPING BARU','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
